	Amazon CodeGuru	Amazon Comprehend	Amazon Fraud Detector	Amazon Kendra	Amazon Lex	Amazon Personalize	Amazon Recognition	Amazon Textract	Amazon Transcribe	Amazon Translate	Amazon SageMaker	Amazon SageMaker Ground Truth	Amazon Augmented AI	Container di deep learning AWS
Quante immagini servono per addestrare un modello personalizzato?							Il numero di immagini necessarie per addestrare un modello personalizzato dipende dalla variabilità delle etichette personalizzate che dovrà prevedere e dalla qualità dei dati di addestramento. Un logo nitido sovrapposto a un'immagine, ad esempio, può essere rilevato con 1-2 immagini di addestramento, mentre per riconoscere un logo meno definito in più variazioni (scala, punto di vista, deformazioni) possono essere necessarie decine o centinaia di esempi con annotazioni di alta qualità. Se è già disponibile un numero elevato di immagini dotate di etichette, è consigliabile addestrare il modello con tutte le immagini disponibili. Per i limiti massimi delle dimensioni del dataset di addestramento, consulta la documentazione. Per addestrare un modello personalizzato con grande accuratezza possono essere necessarie centinaia di immagini, tuttavia con Custom Labels è possibile addestrare prima un modello con decine di immagini per ogni etichetta, verificare i risultati di test per individuare i risultati non soddisfacenti e aggiungere successivamente nuove immagini ripetendo l'addestramento in modo iterativo per migliorare il modello.							
Quante risorse di elaborazione inferenziale devo prevedere per il mio modello personalizzato?							Il numero delle risorse di elaborazione inferenziale parallele dipende da quante immagini devi elaborare in un determinato momento. Il throughput di un'unica risorsa dipende da fattori quali le dimensioni delle immagini, la loro complessità (cioè quanti oggetti rilevati sono visibili) e la complessità del modello personalizzato. Per ottimizzare il provisioning del modello personalizzato è consigliabile monitorare la frequenza con la quale è necessario eseguire il provisioning e il numero di immagini da elaborare in un determinato momento. Se pensi di elaborare periodicamente le immagini (ad esempio, una volta al giorno o alla settimana oppure in orari del giorno predefiniti), inizia impostando il provisioning del modello personalizzato a orari predefiniti, elaborando tutte le immagini e quindi interrompendo il provisioning. Se non interrompi il provisioning, ti verrà addebitato il costo anche se non viene elaborata alcuna immagine.							
Il mio addestramento non è riuscito. mi verranno addebitati dei costi?							No. Se l'addestramento non riesce, non dovrai pagare per le risorse di elaborazione.							
Cos'è la moderazione dei contenuti?							L'API di moderazione dei contenuti di Amazon Rekognition utilizza il deep learning per rilevare contenuti per adulti espliciti o allusivi, contenuti violenti o relativi alle armi, contenuti visivamente disturbanti e contenuti relativi a droghe, alcol, tabacco, simboli d'odio, gioco d'azzardo e gesti osceni in immagini e video. Oltre a contrassegnare le immagini o i video in base alla presenza di contenuti inappropriati e offensivi, Amazon Rekognition restituisce un elenco di etichette suddiviso in gerarchie con un punteggio di affidabilità. Queste etichette indicano sottocategorie specifiche dei contenuti rilevati, fornendo pertanto ulteriore controllo agli sviluppatori sul filtraggio e il controllo di grandi volumi di contenuti generati dagli utenti. Questa API può essere impiegata in flussi di lavoro di moderazione per applicazioni quali social network, app di incontri, piattaforme di condivisione di immagini, blog, forum, applicazioni per bambini, siti di e-commerce, servizi di intrattenimento e piattaforme di inserzioni online.							
Che tipo di contenuti inappropriati, offensivi e inaccettabili rileva amazon rekognition?							"Puoi trovare una lista completa di categorie di contenuti rilevate da Amazon Rekognition qui. Amazon Rekognition restituisce una gerarchia di etichette e un punteggio di affidabilità per ciascuna etichetta. Ad esempio, data una specifica immagine inappropriata, Rekognition restituirà un messaggio di ""nudità esplicita"" con un punteggio di affidabilità di livello più alto. Gli sviluppatori possono utilizzare questi metadati per contrassegnare i contenuti di alto livello, ad esempio quando tutti i tipi di contenuti espliciti per adulti devono essere contrassegnati. Nella stessa sessione, Rekognition può anche restituire un secondo livello di granularità fornendo ulteriore contesto, ad esempio indicando che la presenza di contenuti sessuali espliciti maschili con relativo punteggio di affidabilità. Queste informazioni possono essere utili agli sviluppatori per creare una logica di filtraggio più complessa in base a diverse aree geografiche e segmenti demografici. L'API di moderazione dei contenuti, tuttavia, non costituisce un'autorità affidabile né si pone come filtro esauriente in relazione a contenuti inappropriati e offensivi. Inoltre non è in grado di rilevare la presenza nelle immagini di eventuali contenuti illegali (ad esempio pedopornografia) o contenuti per adulti non naturali. In caso di necessità, ad esempio se occorre il rilevamento di altri tipi di contenuti inappropriati, contattaci utilizzando la procedura illustrata più avanti."							
In che modo è possibile sapere quale versione del modello è attualmente in uso?							"Apportiamo regolarmente migliorie ai modelli di Amazon Rekognition. Per visualizzare la versione del modello, utilizza il campo ""ModerationModelVersion"" nella risposta API."							
In che modo è possibile assicurarsi che amazon rekognition soddisfi gli obiettivi di precisione per il mio caso d'uso di moderazione di immagini o video?							"I modelli di moderazione dei contenuti di Amazon Rekognition sono stati ampiamente ottimizzati e testati, ma il nostro consiglio è comunque di sperimentare l'accuratezza del servizio con i propri set di dati. È possibile utilizzare il parametro ""MinConfidence"" nelle richieste all'API per equilibrare il rilevamento dei contenuti (recupero) con l'affidabilità del rilevamento (precisione). Riducendo il valore del parametro ""MinConfidence"", sarà più facile rilevare la maggior parte dei contenuti inappropriati, ma sarà anche più probabile che vengano contrassegnati anche contenuti che non sono osceni né espliciti. Aumentando il valore del parametro ""MinConfidence"" si riducono i falsi positivi ma alcune immagini con contenuti espliciti e osceni potrebbero essere ignorate."							
In che modo è possibile fornire feedback su rekognition per migliorarne le api di moderazione dei contenuti?							Invia le tue richieste tramite il servizio clienti di AWS. Grazie ai feedback dei clienti, Amazon Rekognition espande costantemente i tipi di contenuti inappropriati rilevati. I contenuti illegali (ad esempio la pedopornografia) non saranno accettati ai fini della procedura.							
Cos'è l'analisi facciale?							L'analisi facciale consiste nel rilevamento di un volto all'interno di un'immagine e nell'estrazione dei relativi attributi. Amazon Rekognition Image restituisce la cornice per ogni volto rilevato in un'immagine, insieme ad attributi come sesso, presenza di occhiali da sole e punti di riferimento del volto. Rekognition Video restituirà i volti rilevati in un video con le indicazioni di data/ora e per ciascun volto rilevato indicherà la posizione e la cornice insieme ai punti di riferimento del volto.							
Quali attributi facciali posso ottenere da amazon rekognition?							Oltre a una cornice e a un punteggio di affidabilità per ogni attributo, Amazon Rekognition restituisce i seguenti attributi facciali per ogni volto rilevato:							
Che cos'è la posa del volto?							Per posa del volto si intende la rotazione di un volto rilevato sugli assi di beccheggio, rollio e imbardata. Ognuno di questi parametri viene restituito come un angolo compreso tra -180° e 180°. La posa del volto può essere utilizzata per trovare l'orientamento del poligono che circonda il viso (in opposizione alla cornice rettangolare), per misurare la deformazione, per tenere traccia dei visi in modo accurato e altro ancora.							
Cosa si intende per qualità del volto?							La qualità del volto descrive la qualità dell'immagine del volto rilevato utilizzando due parametri: nitidezza e luminosità. Entrambi i parametri vengono restituiti come valori compresi tra 0 e 1. A questi parametri può essere applicata una soglia per filtrare volti nitidi e bene illuminati. È utile per le applicazioni che funzionano meglio con immagini di volti di alta qualità, come nel caso del confronto facciale e del riconoscimento facciale.							
Cosa sono i punti di riferimento del volto?							I punti di riferimento del volto sono un insieme di punti salienti, generalmente posizionati agli angoli, alle estremità e al centro dei principali componenti facciali come gli occhi, il naso e la bocca. L'API DetectFaces di Amazon Rekognition restituisce un insieme di punti di riferimento facciali che è possibile utilizzare per ritagliare volti, eseguire il morphing per trasformare un viso in un altro, sovrapporre maschere personalizzate per creare filtri specifici e altro ancora.							
Quanti volti è possibile rilevare in un'immagine?							Amazon Rekognition permette di rilevare fino a 100 volti in un'immagine.							
In che modo l'analisi facciale differisce nel caso dell'analisi dei video?							Rekognition Video consente di individuare i volti in un video e analizzarne le caratteristiche, ad esempio se stanno sorridendo, se gli occhi sono aperti o se mostrano emozioni. Rekognition Video restituirà i volti rilevati con le indicazioni di data/ora e per ciascun volto rilevato indicherà la posizione e fornirà la cornice, insieme a punti di riferimento come occhio sinistro, occhio destro, naso, angolo sinistro della bocca e angolo destro della bocca. Queste informazioni sulla posizione e sulla data/ora si possono utilizzare per seguire facilmente le sensazioni degli utenti nel tempo e aggiungere ulteriori funzionalità come riquadri automatici, evidenziazioni o ritaglio. La ricerca utente non è supportata per l'analisi dei video.							
Oltre alla risoluzione del video, quali altri fattori possono influire sulla qualità delle api di rekognition video?							Le celebrità che si muovono molto velocemente e i video sfocati possono influire sulla qualità delle API di Rekognition Video. Inoltre, anche eventuale trucco pesante o camuffamento, comuni per gli attori e le attrici, possono influire sulla qualità.							
Che cos'è il confronto facciale?							Il confronto facciale è il processo che consente di confrontare un volto con uno o più altri volti per valutarne la somiglianza. Utilizzando l'API CompareFaces, Amazon Rekognition Image consente di misurare la probabilità che i volti presenti in due immagini diverse appartengano alla stessa persona. L'API confronta un volto individuato nell'immagine originale con ogni volto rilevato nell'immagine di destinazione e restituisce un punteggio di somiglianza per ogni confronto. Per ogni faccia rilevata si avranno anche una cornice e un punteggio di affidabilità. Il confronto facciale può essere utilizzato anche per verificare l'identità di una persona confrontandola con foto presenti in archivio quasi in tempo reale.							
Posso utilizzare un'immagine di origine contenente più di un volto?							Sì. Se l'immagine di origine contiene più visi, CompareFaces rileva il viso più grande e lo utilizza per confrontarlo con ogni viso rilevato nell'immagine di destinazione.							
Quanti volti posso confrontare?							Puoi confrontare un volto nell'immagine originale con un massimo di 15 volti rilevati nell'immagine di destinazione.							
Cos'è face search?							Face Search è il processo di utilizzo di un volto di input per cercare corrispondenze simili in una raccolta di volti memorizzati. Attraverso il riconoscimento facciale, puoi creare facilmente applicazioni come l'autenticazione a più fattori per i pagamenti bancari, l'ingresso automatizzato agli edifici per i dipendenti e altro ancora.							
Cos'è una raccolta di volti e come posso crearne una?							Una raccolta di volti è l'indice ricercabile dei vettori di volti, che sono una rappresentazione matematica dei volti. Rekognition non memorizza immagini di volti nella tua collezione. Mediante l'utilizzo dell'API CreateCollection puoi facilmente creare una raccolta in una regione AWS supportata e tornare a un Amazon Resource Name (ARN). Ogni raccolta di volti dispone di un CollectionId univoco associato.							
Come faccio ad aggiungere volti a una raccolta per la ricerca?							Per aggiungere un volto a una raccolta esistente, utilizza l'API IndexFaces. Questa API accetta un'immagine sotto forma di oggetto di S3 o matrice di byte immagine e aggiunge una rappresentazione dei vettori dei volti rilevati alla raccolta. IndexFaces restituisce inoltre un FaceId univoco e una cornice per ogni volto aggiunto. È possibile aggregare più vettori di volti della stessa persona per creare e archiviare vettori utente utilizzando le API CreateUser e AssociateFaces. I vettori utente sono rappresentazioni più robuste dei vettori a faccia singola perché contengono più vettori di volti con diversi gradi di illuminazione, nitidezza, pose, differenze di aspetto, ecc. La ricerca di volti con vettori utente può migliorare significativamente la precisione rispetto alla ricerca di volti con vettori a volto singolo. I vettori utente sono memorizzati nella stessa raccolta dei vettori di volti associati.							
Come si eliminano i volti da una raccolta?							Per eliminare un volto da una raccolta esistente, utilizza l'API DeleteFaces. Questa API agisce sulla raccolta di volti fornita (utilizzando un CollectionId) e rimuove le voci corrispondenti all'elenco di FaceId. Se il FaceID è associato a un vettore utente, dovrai prima utilizzare la chiamata API DisassoicateFaces per rimuoverlo dal vettore utente. Inoltre, puoi eliminare utenti da una raccolta esistente utilizzando l'API DeleteUsers. Per ulteriori informazioni sull'aggiunta e l'eliminazione di volti, consulta il nostro esempio di Gestione delle raccolte.							
Come posso cercare un utente nella raccolta di volti?							Dopo aver creato gli utenti e i FaceID associati, puoi eseguire la ricerca utilizzando un'immagine (SearchUsersByImage), un ID utente (searchUsers) o un FaceID (SearchUsers). Queste API acquisiscono un volto iniziale e restituiscono una serie di utenti corrispondenti ordinati in base al punteggio di somiglianza. Per ulteriori dettagli, consulta il nostro esempio di Ricerca dei volti.							
Come posso cercare un volto nella raccolta?							Una volta che avrai creato una raccolta indicizzata di volti, potrai cercare un viso utilizzando un'immagine (SearchFaceByImage) o un FaceId (SearchFaces). Queste API acquisiscono un volto iniziale e restituiscono una serie di volti corrispondenti ordinati in base al punteggio di somiglianza, con al primo posto il volto che ha ottenuto il punteggio più alto. Per ulteriori dettagli, consulta il nostro esempio di Ricerca dei volti.							
In che modo face search è diverso per l'analisi dei video?							Rekognition Video consente di eseguire ricerche dei volti in tempo reale in raccolte contenenti decine di milioni di volti. Innanzitutto si crea una raccolta di volti nella quale si possono memorizzare volti costituiti da rappresentazioni vettoriali dei tratti somatici. Rekognition esegue quindi la ricerca nella raccolta dei volti per individuare volti visivamente simili in tutto il video. Per ciascun volto presente nel video, Rekognition restituirà un punteggio di affidabilità, consentendo di visualizzare le possibili corrispondenze direttamente nell'applicazione. La ricerca utente non è supportata per l'analisi dei video.							
Oltre alla risoluzione del video, quali altri fattori possono influire sulla qualità delle api video?							Oltre alla risoluzione del video, anche la qualità e i volti significativi, insieme alla parte di raccolta in cui si esegue la ricerca, hanno un impatto notevole. Utilizzando più istanze del volto di una stessa persona con varianti come barba, occhiali, pose diverse (di profilo e frontale) si miglioreranno significativamente i risultati. Generalmente le persone che si muovono molto velocemente possono ridurre la qualità del riconoscimento. Inoltre, i video sfocati potrebbero presentare una qualità inferiore.							
Che cos'è il riconoscimento di volti celebri?							Il riconoscimento di volti celebri di Amazon Rekognition è una nuova funzionalità basata su algoritmi di apprendimento approfondito con cui puoi individuare, mediante un'API molto intuitiva, volti di celebrità e personaggi famosi o noti nel loro campo. L'API RecognizeCelebrities può essere usata su vasta scala e riconosce le celebrità in diverse categorie, tra cui politica, sport, affari, intrattenimento e media. Questa funzionalità risulta particolarmente utile ai clienti a cui occorrono librerie di immagini digitali indicizzabili e ricercabili in base ai personaggi celebri di loro interesse.							
A chi è rivolta l'api di riconoscimento di volti celebri?							Amazon Rekognition è in grado di identificare solo le celebrità per cui il modello di apprendimento approfondito è stato addestrato. L'API RecognizeCelebrities non costituisce un'autorità, né intende esserlo, per la creazione di elenchi di celebrità. Si tratta di una caratteristica creata per includere il maggior numero di celebrità possibili, in base alle esigenze e ai feedback dei clienti. Vengono aggiunti costantemente nuovi nomi, ma il fatto che questa funzionalità non riconosca individui che potrebbero essere considerati noti secondo altri gruppi o clienti non riflette le nostre opinioni su chi debba o non debba essere considerato una celebrità. Se desideri che l'API di riconoscimento di volti celebri sia in grado di identificare nuove celebrità, inviaci un feedback.							
È possibile richiedere di rimuovere una celebrità dall'elenco di personaggi riconosciuti dall'api di amazon rekognition?							Sì. Se una celebrità desidera essere rimossa da questa funzionalità, può farne richiesta tramite e-mail al servizio clienti di AWS.							
Quali riferimenti sono supportati per fornire informazioni aggiuntive su una celebrità?							L'API supporta un elenco opzionale di fonti da includere nella risposta informazioni sulla celebrità. Al momento è possibile indicare un URL dal sito IMDB, se disponibile. In futuro potranno essere aggiunte altre fonti.							
In che modo il riconoscimento di volti celebri differisce nel caso dell'analisi dei video?							Rekognition Video consente di individuare e riconoscere quando e dove appaiono persone famose in un video. I dati di uscita con codifica temporale includono il nome e un identificativo univoco della persona, le coordinate della cornice, un punteggio di affidabilità e gli URL dei contenuti correlati, ad esempio il collegamento alla pagina del personaggio su IMDB. La persona viene rilevata anche se a volte il suo volto non è visibile, nel video. Questa funzione consente di indicizzare e ricercare librerie di video digitali per utilizzi legati a esigenze specifiche di marketing e dei media.							
Che cos'è text detection?							Text Detection è una caratteristica di Amazon Rekognition che permette di rilevare e riconoscere contenuti di testo all'interno di immagini o video, ad esempio nomi di strade, didascalie, nomi di prodotti, grafiche in sovrimpressione, sottotitoli video e targhe di mezzi motorizzati. La funzione Text Detection è stata creata per il rilevamento di testo da immagini e video reali anziché da immagini di documenti. L'API DetectText di Amazon Rekognition si applica alle immagini e restituisce etichette di testo e cornici per ogni stringa di caratteri rilevata, con un punteggio di affidabilità. Nelle applicazioni di condivisione di immagini e di social networking, ad esempio, è possibile abilitare la ricerca visiva basata su un indice di immagini che contiene le stesse etichette di testo. Nelle applicazioni di sicurezza, il servizio permette di identificare i veicoli in base ai numeri di targa dalle immagini scattate tramite body cam. Analogamente, per i video, utilizzando le API StartTextDetection e GetTextDetection è possibile rilevare testo e ottenere punteggi di affidabilità e timestamp per ogni rilevamento. Nelle applicazioni per media e intrattenimento, invece, è possibile creare metadati di testo che supportano la ricerca per i contenuti rilevanti, ad esempio notizie, punteggi sportivi, pubblicità e didascalie. Puoi anche verificare se nel testo rilevato sono presenti violazioni di policy o conformità, per esempio un indirizzo e-mail o un numero di telefono sovrapposti dagli spammer.							
Quali tipi di testo supporta la funzione text detection di amazon rekognition?							La funzione Text Detection è stata creata appositamente per lavorare su immagini e video reali anziché su immagini di documenti. Supporta i numeri e la maggior parte dei caratteri latini strutturati secondo un'ampia varietà di layout, font e stili diversi e sovrapposti agli oggetti sullo sfondo, con diversi livelli di orientamento; ad esempio può rilevare le scritte in striscioni e poster. Text Detection è in grado di riconoscere fino a 50 sequenze di caratteri per immagine, elencandoli come parole e righe. Text Detection è in grado di riconoscere il testo ruotato da -90 a +90 gradi rispetto all'asse orizzontale.							
Posso limitare il rilevamento di testo a regioni specifiche in un'immagine o un frame video?							Sì, puoi utilizzare le opzioni di filtro del rilevamento di testo per specificare un massimo di 10 regioni di interesse (ROI) nella richiesta API. Amazon Rekognition restituirà esclusivamente il testo che rientra in queste regioni.							
Posso filtrare i rilevamenti di testo per affidabilità della parola o dimensione della cornice?							Sì, nella richiesta API puoi utilizzare le opzioni di filtro del rilevamento di testo per specificare le soglie minime di punteggio di affidabilità o di dimensione della cornice.							
Come posso dare un feedback su rekognition per migliorarne le funzionalità di riconoscimento del testo?							Invia le tue richieste tramite il supporto clienti di AWS. Grazie ai feedback dei clienti, Amazon Rekognition espande costantemente i tipi di testi riconosciuti.							
Quale dispositivo di protezione individuale è in grado di rilevare amazon rekognition?							"La funzione ""DetectProtectiveEquipment"" di Amazon Rekognition è in grado di rilevare tipi comuni di protezioni per viso, mani e testa. Per ulteriori informazioni, consulta la documentazione sulla funzione. Puoi anche utilizzare le etichette personalizzate di Amazon Rekognition per rilevare dispositivi di protezione individuale come gilè catarifrangenti, occhiali di sicurezza e altri dispositivi speciali per la tua attività. Per informazioni sull'utilizzo delle etichette personalizzate di Amazon Rekognition per il rilevamento di dispositivi di protezione individuali personalizzati, consulta questo repository di Github."							
Amazon rekognition è in grado di individuare le posizioni del dispositivo di protezione e restituire cornici?							"Sì, l'API ""DetectProtectiveEquipment"" di Amazon Rekognition è in grado di rilevare la posizione del dispositivo di protezione come protezioni per viso, mani e testa su persone in immagini. Si possono ricevere le coordinate della cornice per ogni elemento del dispositivo di protezione individuato, così come un punteggio di affidabilità. Per ulteriori informazioni sulla reattività dell'API, consulta la documentazione."							
Il servizio è in grado di rilevare se la maschera è indossata correttamente?							"Il rilevamento dell'API ""DetectProtectiveEquipment"" di Amazon Rekognition fornisce un valore ""CoversBodyPart"" (vero/falso) e un valore di affidabilità per il valore booleano di ciascun elemento individuato del dispositivo di protezione. In questo modo si ottengono informazioni circa il posizionamento del dispositivo di protezione sulla parte del corpo corrispondente della personale. La previsione sulla presenza del dispositivo di protezione sulla parte del corpo corrispondente aiuta a escludere i casi in cui il dispositivo è presente nell'immagine ma non sulla persona. Tuttavia, non indica né stabilisce se la persona è adeguatamente protetta dal dispositivo di protezione o se le protezioni sono indossate in maniera corretta."							
Il rilevamento del dispositivo di protezione individuale di amazon rekognition è in grado di identificare le persone rilevate?							No, il rilevamento del dispositivo di protezione individuale di Amazon Rekognition non esegue il riconoscimento facciale o il confronto facciale, quindi non è in grado di identificare le persone rilevate.							
Dove è possibile trovare ulteriori informazioni sui limiti e sulla latenza dell'api?							Per aggiornamenti sui dettagli dei limiti e della latenza dell'API, consulta la documentazione sul rilevamento del dispositivo di protezione individuale di Amazon Rekognition.							
Come si inviano le immagini dalle fotocamere del posto di lavoro ad amazon rekognition?							Esistono diverse opzioni per acquisire immagini dalle fotocamere presenti sul posto di lavoro. Per ulteriori informazioni, consulta il blog sul rilevamento del dispositivo di protezione individuale di Amazon Rekognition. Quali sono i prezzi per il rilevamento del dispositivo di protezione individuale? Il rilevamento del dispositivo di protezione individuale di Amazon Rekognition è addebitato in maniera analoga ad altre API per immagini di Amazon Rekognition su base unitaria. Per ulteriori informazioni, visita la pagina dei prezzi di Amazon Rekognition.							
Cosa sono gli amazon rekognition streaming video events?							Amazon Rekognition Streaming Video Events utilizza il machine learning per rilevare oggetti dalla videocamera collegata per fornire avvisi attuabili in tempo reale. Amazon Rekognition Streaming Video Events funziona con i tuoi Kinesis Video Streams nuovi ed esistenti per elaborare flussi video (fino a 120 secondi per evento di movimento) e avvisarti non appena viene rilevato un oggetto di interesse desiderato. Puoi utilizzare queste notifiche per:							
Come funziona amazon rekognition streaming video events?							Puoi utilizzare i Kinesis Video Streams nuovi o esistenti per iniziare a utilizzare Amazon Rekognition Streaming Video Events. Quando configuri le impostazioni del tuo stream processor per Amazon Rekognition, puoi scegliere le etichette desiderate (persona, animale domestico o pacco) che desideri rilevare, la durata del video (fino a 120 secondi per evento di movimento) che Rekognition deve elaborare per ogni evento e/o l'area di interesse del frame che si desidera elaborare tramite Rekognition. Le API di Rekognition Streaming Video Events elaborano il video solo se invii una notifica a Rekognition per avviare l'elaborazione del flusso video. Quando viene rilevato un movimento su una videocamera collegata, invii una notifica a Rekognition per avviare l'elaborazione del flusso video. Rekognition elabora il Kinesis Video Stream corrispondente, post rilevamento, per cercare gli oggetti desiderati da te specificati. Non appena viene rilevato un oggetto desiderato, Amazon Rekognition ti invierà una notifica. Questa notifica include l'oggetto rilevato, il riquadro di delimitazione, l'immagine ingrandita dell'oggetto e l'orario.							
Quali etichette sono supportate da amazon rekognition streaming video events?							Amazon Rekognition Streaming Video Events può supportare persone, animali domestici e pacchi.							
Quali animali domestici e tipi di pacchetto vengono rilevati dalle api di amazon rekognition streaming video event?							Le API di Amazon Rekognition Streaming Video Event supportano il rilevamento di cani e gatti. L'API è in grado di rilevare scatole di cartone di medie e grandi dimensioni con elevata precisione. L'API rileva anche scatole più piccole, buste a bolle e raccoglitori, ma occasionalmente potrebbe mancare alcuni di questi oggetti.							
Le etichette rilevate mi saranno addebitate separatamente?							Posso scegliere quali etichette attivare? No, le etichette rilevate non saranno addebitate separatamente. Ti verrà addebitata la durata del video in streaming elaborato da Rekognition. Puoi attivare etichette specifiche (animale domestico, pacchetto) o scegliere di aderire a tutte e tre le etichette (persone, animale domestico, pacchetto) durante la configurazione delle impostazioni di elaborazione del flusso.							
Devo trasmettere video in streaming continuamente su amazon rekognition?							No, non è necessario eseguire lo streaming di video continuamente su Amazon Rekognition.							
Devo creare nuovi kinesis video streams (kvs) per utilizzare streaming video events?							Amazon Rekognition Streaming Video Events funziona sia con Kinesis Video Streams nuovi che con quelli esistenti. Integra semplicemente i flussi KVS pertinenti con l'API di Amazon Rekognition Streaming Video Events per iniziare con l'analisi video sui flussi KVS.							
Quando mi verrà inviata la notifica da amazon rekognition?							Amazon Rekognition avvia l'elaborazione del flusso video dopo il rilevamento del movimento. Puoi configurare la durata dell'elaborazione di questo flusso video (fino a 120 secondi per evento). Non appena Amazon Rekognition rileva l'oggetto di interesse nel flusso video, Rekognition ti invierà una notifica. Questa notifica include l'oggetto rilevato, il riquadro di delimitazione, l'immagine ingrandita dell'oggetto e l'orario.							
Quali valori di risoluzione e fps sono supportati per il rilevamento delle etichette?							Per mantenere bassi i costi e la latenza, Amazon Rekognition Streaming Video Events supporta flussi video a risoluzione 1080p o inferiore. Rekognition elabora il flusso video a 5 fps.							
Quali codec e formato di file sono supportati per lo streaming di video?							Amazon Rekognition Video supporta file H.264 in formato MPEG-4 (.mp4) o MOV.							
Qual è la durata massima del video elaborato per evento?							Puoi elaborare fino a 120 secondi di video per evento.							
Posso scegliere una particolare area del fotogramma da elaborare per il mio flusso video?							Sì, come parte della configurazione del tuo StreamProcessor puoi scegliere la regione di interesse che vuoi elaborare sul tuo frame. Amazon Rekognition elaborerà solo quella particolare area del frame.							
Quanti flussi video simultanei posso elaborare con amazon rekognition?							Amazon Rekognition Streaming Video Events può supportare 600 sessioni simultanee per cliente AWS. Contatta il tuo account manager se devi aumentare questo limite.							
Quali tipi di entità è in grado di rilevare video amazon rekognition?							Video Amazon Rekognition è in grado di rilevare oggetti, scene, punti di riferimento, volti, celebrità, testi e contenuti inappropriati nei video. Puoi inoltre ricercare i volti che compaiono in un video utilizzare un repository o una raccolta di immagini di volti personalizzati.							
Quali tipi di formati e codici supporta amazon rekognition video?							Amazon Rekognition Video supporta file H.264 in formato MPEG-4 (.mp4) o MOV. Se i tuoi file video utilizzano un codec diverso, puoi transcodificarli in H.264 utilizzando AWS Elemental MediaConvert.							
Come funzionano le api asincrone di amazon rekognition video?							Amazon Rekognition Video può elaborare video archiviati in un bucket Amazon S3. Puoi utilizzare una serie di operazioni asincrone: per avviare l'analisi del video richiamerai un'operazione Start come StartLabelDetection per il rilevamento di oggetti e scene. Lo stato di completamento della richiesta viene pubblicato su un argomento di Amazon Simple Notification Service (SNS). Per conoscere lo stato di completamento dall'argomento Amazon SNS puoi utilizzare una coda Amazon Simple Queue Service (SQS) o una funzione AWS Lambda. Una volta ottenuto lo stato di completamento, richiamerai un'operazione Get come GetLabelDetection per accedere ai risultati della richiesta. Per un elenco di API Amazon Rekognition Video disponibili, consulta questa pagina.							
Come posso trovare la cronologia di ogni rilevamento in un video?							Video Amazon Rekognition restituisce i risultati delle etichette in base a timestamp o segmenti video. Puoi scegliere come organizzare questi risultati utilizzando il parametro di input AggregateBy nell'API GetLabelDetection. Per saperne di più su timestamp e segmenti e per vedere una risposta API di esempio, visita Rilevamento di etichette in un video.							
Quante attività di analisi video posso eseguire contemporaneamente con video amazon rekognition?							Con Amazon Rekognition Video puoi elaborare fino a 20 attività contemporaneamente. Per ulteriori informazioni sui limiti, consulta la nostra pagina corrispondente.							
Quale risoluzione video devo utilizzare?							Amazon Rekognition Video gestisce automaticamente un'ampia gamma di risoluzioni e qualità video. Per risultati ottimali, si consiglia di utilizzare da 720p (1280×720 pixel) a 1080p (1920x1080 pixel) o risoluzioni equivalenti. Video con risoluzioni molto basse (ad esempio, QVGA o 240p) possono avere un impatto negativo sulla qualità dei risultati.							
Che cos'è il rilevamento dei movimenti delle persone?							Con Rekognition Video puoi trovare il percorso di ogni persona nella sequenza temporale del video. Rekognition Video rileva le persone anche quando la telecamera è in movimento e, per ciascuna persona, restituisce la cornice insieme alle caratteristiche del volto e alle indicazioni di data/ora. Nelle attività commerciali consente di ottenere informazioni anonime sui clienti, rilevando ad esempio come si muovono lungo i corridoi di un centro commerciale o per quanto tempo rimangono in fila alle casse.							
Quali tipi di analisi multimediale è in grado di eseguire amazon rekognition video?							Amazon Rekognition Video è in grado di rilevare i seguenti tipi di segmenti o entità per analisi multimediale: Amazon Rekognition Video fornisce inizio, fine, durata e timecode per ogni entità rilevata, nonché timestamp (millisecondi), codice del formato SMPTE e opzioni del numero di fotogrammi per ognuno.							
Come inizio l'analisi multimediale con amazon rekognition video?							Le caratteristiche dell'analisi multimediale sono disponibili tramite l'API di rilevamento dei segmenti di Amazon Rekognition Video. Questa è un'API asincrona costituita da due operazioni: StartSegmentDetection per iniziare l'analisi, e GetSegmentDetection per ottenere i risultati dell'analisi. Per iniziare, consulta la documentazione. Se desideri visualizzare i risultati dell'analisi multimediale o provare altri servizi di intelligenza artificiale di Amazon come Amazon Transcribe con i tuoi video, utilizza l'applicazione Media Insights, un'applicazione demo e framework serverless per generare facilmente informazioni e sviluppare applicazioni per le tue risorse video, audio, di testo e immagini, mediante l'uso di servizi AWS Machine Learning e multimediali. Puoi facilmente avviare la tua applicazione demo utilizzando il modello AWS CloudFormation fornito, per provare i tuoi video e visualizzare i risultati dell'analisi.							
Che cos'è un timecode accurato del fotogramma?							I timecode accurati dei fotogrammi forniscono il numero esatto di fotogrammi per un segmento di video o entità pertinente. Di norma le aziende multimediali elaborano i timecode utilizzando il formato SMPTE (Society of Motion Picture and Television Engineers) ore:minuti:secondi:numero di fotogrammi, ad esempio, 00:24:53:22.							
